gas_param,client_name,runtime_ms,pvalue,conf_int_low,conf_int_high,test_name,target_opcode,model_coef_name,source_label,glue_adjustment,rsquared,rsquared_adj,param_bn128,param_mem_size,param_mod_bits,new_gas_decimal,new_gas_rounded,poor_fit,is_winner,selected_test,selected_opcode,selected_model_coef_name
OPCODE_MOD,nethermind,1.1223662752551745e-05,0.001,1.1016173040086394e-05,1.142204940989407e-05,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8954792448814771,0.8953885937495443,,,191,1.1223662752551744,2,False,True,test_mod,MOD,target_coef
OPCODE_MOD,nethermind,1.0332488745166114e-05,0.001,1.0151118348241986e-05,1.0514355017098575e-05,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.9198038019581899,0.9197342475800097,,,255,1.0332488745166113,2,False,False,test_mod,MOD,target_coef
OPCODE_MOD,nethermind,6.909509763905867e-06,0.001,6.797417084265868e-06,7.03384517828064e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.9012008373934497,0.9011151486140858,,,63,0.6909509763905867,1,False,False,test_mod,MOD,target_coef
OPCODE_MOD,reth,7.020041149591645e-06,0.001,6.4093737411223805e-06,7.625892575181518e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8526891212244646,0.8511704523711086,,,127,0.7020041149591645,1,False,False,test_mod,MOD,target_coef
OPCODE_MOD,reth,9.667342792014586e-06,0.001,8.781801371960786e-06,1.058870985840751e-05,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8484383098860583,0.846875818235399,,,191,0.9667342792014586,1,False,True,test_mod,MOD,target_coef
OPCODE_MOD,reth,8.048349806130022e-06,0.001,7.340751211109122e-06,8.778636061140337e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8312586894944686,0.8295190883552364,,,255,0.8048349806130023,1,False,False,test_mod,MOD,target_coef
OPCODE_MOD,reth,6.34049673335427e-06,0.001,5.802321580175308e-06,6.884783466090284e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8595898481055761,0.8581423207664584,,,63,0.6340496733354269,1,False,False,test_mod,MOD,target_coef
OPCODE_SMOD,besu,2.0152780260705523e-05,0.001,1.9868174914346818e-05,2.0452121758417893e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8465976232271064,0.8465555951786754,,,127,2.0152780260705523,3,False,True,test_mod,SMOD,target_coef
OPCODE_SMOD,besu,1.8756665312500155e-05,0.001,1.8461244398870328e-05,1.900804190797157e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8302505951800361,0.830204088493784,,,191,1.8756665312500154,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,besu,1.537418978878695e-05,0.001,1.5137132916306024e-05,1.5629994828411017e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8109049548000472,0.8108531479383486,,,255,1.537418978878695,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,besu,1.5489901971932907e-05,0.001,1.5239985728663402e-05,1.573291118712051e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8117137988172765,0.8116622135566784,,,63,1.5489901971932907,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,erigon,1.2860057946302405e-05,0.001,1.230261776315911e-05,1.3300310525662214e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.895013848629238,0.8945553938197588,,,127,1.2860057946302403,2,False,True,test_mod,SMOD,target_coef
OPCODE_SMOD,erigon,1.2468268080675917e-05,0.001,1.1924897641722003e-05,1.293049190437838e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8949397546821573,0.8944809763183239,,,191,1.2468268080675917,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,erigon,1.1950458741521826e-05,0.001,1.1324985602725877e-05,1.2564587132990706e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8777717397689698,0.8772379919076989,,,255,1.1950458741521828,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,erigon,9.20150798508287e-06,0.001,8.768775300893663e-06,9.614181725721126e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8937532949008603,0.893289335489947,,,63,0.9201507985082871,1,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,ethrex,1.0553813035964392e-05,0.001,1.0316530038308543e-05,1.0805274532952431e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8343581498185396,0.8342519691453464,,,127,1.0553813035964392,2,False,True,test_mod,SMOD,target_coef
OPCODE_SMOD,ethrex,8.982003933509664e-06,0.001,8.760009361740213e-06,9.192004867517958e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.839423627636129,0.8393206940641009,,,191,0.8982003933509665,1,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,ethrex,7.309857957262555e-06,0.001,7.13135484141431e-06,7.492667413304697e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8384771223587018,0.8383735820525214,,,255,0.7309857957262554,1,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,ethrex,4.541773877335955e-06,0.001,4.42030698273623e-06,4.6508271071079516e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8275561546678206,0.8274456137413256,,,63,0.4541773877335955,1,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,geth,1.216063647329676e-05,0.001,1.1986014228317524e-05,1.234443820926654e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8315834533626598,0.8315422757228952,,,127,1.2160636473296758,2,False,True,test_mod,SMOD,target_coef
OPCODE_SMOD,geth,1.156290488012757e-05,0.001,1.1392201076432608e-05,1.1747691495336361e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8310102790646151,0.8309689612844353,,,191,1.156290488012757,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,geth,1.0291333988813164e-05,0.001,1.0137563409278515e-05,1.0457384093014365e-05,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8309555027402606,0.8309141715673365,,,255,1.0291333988813165,2,False,False,test_mod,SMOD,target_coef
OPCODE_SMOD,geth,8.62014015297561e-06,0.001,8.491585708328552e-06,8.75598879948232e-06,test_mod,SMOD,target_coef,presets[arithmetic_smod_bits],0.0,0.8289130649954406,0.8288712344489847,,,63,0.862014015297561,1,False,False,test_mod,SMOD,target_coef
